,Url,Série,Numéro,Title,Cote,Check,Notes Erwan,Author(s),Scénariste,Dessinateur,Editor,Release date,Book format,Language,Summary,Grade,Cover,Estimated price,Bonus data
9782871291008,https://www.justbooks.fr/search/?keywords=9782871291008&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,La Complainte des Landes perdues,3,Dame Gerfaut,COMPL,o,,Jean Dufaux,,,Dargaud,1996,Couverture souple,Français,Hard to Find book,3.78 Note moyenne,https://pictures.abebooks.com/isbn/9782871291008-us-300.jpg,,NaN
9782871291695,https://www.justbooks.fr/search/?keywords=9782871291695&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,La Complainte des Landes perdues,4,Kyle of klanach,COMPL,o,,Jean Dufaux,,,Dargaud,1998,Couverture souple,Français,,3.81 Note moyenne,https://pictures.abebooks.com/isbn/9782871291695-us-300.jpg,,NaN
9782871296836,https://www.justbooks.fr/search/?keywords=9782871296836&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,La Complainte des Landes perdues,5,Moriganes,COMPL,o,,Rosinski; Dufaux,,,Dargaud,2004,Couverture souple,Français,,3.90 Note moyenne,https://pictures.abebooks.com/isbn/9782871296836-us-300.jpg,,NaN
2205009087,https://www.justbooks.fr/search/?keywords=2205009087&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Concombre Masqué,3,Le Retour du Concombre Masqué,CONCO,o,,,,,,,Couverture rigide,,,3.50 Note moyenne,https://pictures.abebooks.com/isbn/9782205009088-us-300.jpg,,
2205024698,https://www.justbooks.fr/search/?keywords=2205024698&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Concombre Masqué,7,Le Concombre contre le Grand Patatoseur.,CONCO,o,,NIKITA Et MANDRYKA,,,DARGAUD,1983,Couverture rigide,,"RO80127819. Le Concombre contre le Grand Patatoseur.. 1983. In-4. Cartonné. Bon état, Couv. convenable, Dos satisfaisant, Intérieur acceptable. 48 pages de bandes dessinées en couleurs. Coiffes légèrement usées.. . . . Classification Dewey : 843.06-Bande dessinée",,https://pictures.abebooks.com/isbn/9782205024692-us-300.jpg,"€24,79",
2205025430,https://www.justbooks.fr/search/?keywords=2205025430&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Condor,1,L'otage,CONDO,o,,,,,Dargaud Editeur,,Couverture rigide,français,,,https://pictures.abebooks.com/isbn/9782205025439-us-300.jpg,"€5,85",
2203338237,https://www.justbooks.fr/search/?keywords=2203338237&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,Congo 40,CONGO,o,,Warnauts,,,Casterman,1988,,français,Hard to Find book,3.75 Note moyenne,https://pictures.abebooks.com/isbn/9782203338234-us-300.jpg,"€20,20",
9782803604999,https://www.justbooks.fr/search/?keywords=9782803604999&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Contes et sortilèges du Moyen Âge,,Les yeux du marais,CONTE,o,,Marc Renier,,,Le Lombard,1996,,,,,https://pictures.abebooks.com/isbn/9782803604999-us-300.jpg,"€3,99",NaN
2226014535,https://www.justbooks.fr/search/?keywords=2226014535&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,Conte suave,CONTE,o,CUL,Philippe Marcelé,,,,,,,,,https://pictures.abebooks.com/isbn/9782226014535-us-300.jpg,,
2205030450,https://www.justbooks.fr/search/?keywords=2205030450&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,Contes fripons,CONTE,o,,Cabanes,,,Dargaud,1990,Couverture rigide,français,,,https://pictures.abebooks.com/isbn/9782205030457-us-300.jpg,,
